username,recommended_id
Vishal17,1064.0
Vishal17,1062.0
Vishal17,1066.0
Vishal17,1065.0
Vishal17,159.0
Vishal17,560.0
Vishal17,549.0
Vishal17,173.0
Vishal17,44.0
Vishal17,151.0
Vishal17,590.0
Vishal17,19.0
Vishal17,161.0
Vishal17,1088.0
Vishal17,540.0
Vishal17,150.0
Vishal17,52.0
Vishal17,143.0
Vishal17,31.0
Vishal17,1063.0
Vishal17,13.0
Vishal17,558.0
Vishal17,415.0
Vishal17,56.0
Vishal17,583.0
Vishal17,33.0
Vishal17,551.0
Vishal17,1087.0
Vishal17,43.0
Vishal17,1060.0
Vishal17,148.0
Vishal17,979.0
Vishal17,629.0
Vishal17,1057.0
Vishal17,1059.0
Vishal17,86.0
Vishal17,1055.0
Vishal17,1079.0
Vishal17,154.0
Vishal17,1086.0
Vishal17,81.0
Vishal17,1080.0
Vishal17,152.0
Vishal17,491.0
Vishal17,516.0
Vishal17,633.0
Vishal17,548.0
Vishal17,153.0
Vishal17,142.0
Vishal17,1085.0
Ayush61,1064.0
Ayush61,1062.0
Ayush61,1066.0
Ayush61,1065.0
Ayush61,159.0
Ayush61,560.0
Ayush61,549.0
Ayush61,173.0
Ayush61,44.0
Ayush61,151.0
Ayush61,590.0
Ayush61,19.0
Ayush61,161.0
Ayush61,1088.0
Ayush61,540.0
Ayush61,150.0
Ayush61,52.0
Ayush61,143.0
Ayush61,31.0
Ayush61,1063.0
Ayush61,13.0
Ayush61,558.0
Ayush61,415.0
Ayush61,56.0
Ayush61,583.0
Ayush61,33.0
Ayush61,551.0
Ayush61,1087.0
Ayush61,43.0
Ayush61,1060.0
Ayush61,148.0
Ayush61,979.0
Ayush61,629.0
Ayush61,1057.0
Ayush61,1059.0
Ayush61,86.0
Ayush61,1055.0
Ayush61,1079.0
Ayush61,154.0
Ayush61,1086.0
Ayush61,81.0
Ayush61,1080.0
Ayush61,152.0
Ayush61,491.0
Ayush61,516.0
Ayush61,633.0
Ayush61,548.0
Ayush61,153.0
Ayush61,142.0
